OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MD,USGS Maryland Water Science Center,USGS-01594682,"SWANSON CREEK NEAR MALCOLM, MD",Stream,,02060006,,,,,38.61900814000000,-76.7510780000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01649200,"PAINT BRANCH AT COLLEGE PARK, MD",Stream,,02070010,17.3,sq mi,,,39.02122079000000,-76.9455305000000,,1,seconds,Interpolated from MAP.,NAD83,100,feet,10,feet,Interpolated from topographic map.,NGVD29,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01649500,"NORTHEAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD",Stream,,02070010,72.8,sq mi,,,38.96025000000000,-76.9259722000000,,1,seconds,Interpolated from MAP.,NAD83,11.55,feet,.15,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01651000,"NORTHWEST BR ANACOSTIA RIVER NR HYATTSVILLE, MD",Stream,,02070010,49.4,sq mi,,,38.95255556000000,-76.9651388900000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,16.35,feet,.06,feet,Level or other surveyed method.,NAVD88,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01651003,"NORTHWEST BRANCH ANACOSTIA AT BRENTWOOD, MD",Stream,,02070010,,,,,38.94897220000000,-76.9562222000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,5,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01651007,"ANACOSTIA RIVER AT BLADENSBURG WATERFRONT PARK, MD",Estuary,,02070010,128,sq mi,,,38.93416667000000,-76.9392500000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,0,feet,.16,feet,Level or other surveyed method.,NAVD88,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01651010,"ANACOSTIA RIVER AT BLADENSBURG, MD",Estuary,,02070010,130,sq mi,,,38.92372257000000,-76.9385853900000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01651710,"BEAVERDAM CREEK NEAR LANDOVER, MD",Stream,,02070010,7.86,sq mi,,,38.91930556000000,-76.9053333000000,24000,Unknown,Unknown,Unknown.,NAD83,35,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01651715,"CABIN BRANCH NEAR CHEVERLY, MD",Stream,,02070010,4.92,sq mi,,,38.91611110000000,-76.9108888900000,24000,Unknown,Unknown,Unknown.,NAD83,25,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01651720,"CABIN BRANCH NEAR 64TH STREET AT CHEVERLY, MD",Stream,,02070010,4.94,sq mi,,,38.91577778000000,-76.9117777800000,24000,Unknown,Unknown,Unknown.,NAD83,21,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01651725,"BEAVERDAM CREEK AT CHEVERLY, MD",Stream,,02070010,13.8,sq mi,,,38.91411110000000,-76.9211111000000,24000,Unknown,Unknown,Unknown.,NAD83,20,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01651730,"BEAVERDAM CREEK NEAR CHEVERLY, MD",Stream,,02070010,14.9,sq mi,,,38.91630556000000,-76.9343056000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,0.0,feet,0.1,feet,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0165258850,"OXON RUN NEAR WASHINGTON, DC",Stream,,02070010,,,,,38.85039050000000,-76.9599746000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01652589,"POTOMAC RIVER BEL OXON CREEK AT WASHINGTON, DC",Estuary,,02070010,11880,sq mi,,,38.80178014000000,-77.0263652000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01653500,"HENSON CREEK AT OXON HILL, MD",Stream,,02070010,16.70,sq mi,,,38.78789160000000,-76.9780304000000,,1,seconds,Interpolated from MAP.,NAD83,62,feet,10,feet,Interpolated from topographic map.,NGVD29,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01653600,"PISCATAWAY CREEK AT PISCATAWAY, MD",Stream,,02070010,39.5,sq mi,,,38.70577778000000,-76.9661944000000,24000,1,seconds,Interpolated from MAP.,NAD83,7.63,feet,.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01653625,"TINKERS CREEK AT PISCATAWAY, MD",Stream,,02070010,15.9,sq mi,,,38.71400450000000,-76.9708077000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01653650,"PISCATAWAY CREEK NEAR S PISCATAWAY, MD",Stream,,02070010,,,,,38.69872710000000,-76.9863635900000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383200076410701,PG Hf  24,Well,,02060006,,,,,38.53345520000000,-76.6849624000000,24000,1,seconds,Interpolated from MAP.,NAD83,8.24,feet,5,feet,Level or other surveyed method.,NGVD29,US,24,033,Northern Atlantic Coastal Plain aquifer system,,Aquia Formation,,19620516,417,ft,454,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383225076405501,PG Hf  29,Well,,02060006,,,,,38.54039947000000,-76.6816290000000,24000,1,seconds,Interpolated from MAP.,NAD83,10.00,feet,10,feet,Interpolated from topographic map.,NGVD29,US,24,033,Northern Atlantic Coastal Plain aquifer system,,Pleistocene Series,,1900,14.5,ft,14.5,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383226076405601,PG Hf  28,Well,,02060006,,,,,38.54067724000000,-76.6819068000000,,1,seconds,Interpolated from MAP.,NAD83,6.80,feet,.01,feet,Level or other surveyed method.,NGVD29,US,24,033,Northern Atlantic Coastal Plain aquifer system,,Magothy Formation,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383228076410601,PG Hf  35,Well,,02060006,,,,,38.54141667000000,-76.6843056000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,11.22,feet,10,feet,Interpolated from topographic map.,NGVD29,US,24,033,Northern Atlantic Coastal Plain aquifer system,,Aquia Formation,,19720515,430,ft,430,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383230076405801,PG Hf  23,Well,,02060006,,,,,38.54178830000000,-76.6824624000000,24000,1,seconds,Interpolated from MAP.,NAD83,10.00,feet,10,feet,Interpolated from topographic map.,NGVD29,US,24,033,Northern Atlantic Coastal Plain aquifer system,,Magothy Formation,,19620515,613,ft,675,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383231076411101,PG Hf  25,Well,,02060006,,,,,38.54206609000000,-76.6860737000000,,1,seconds,Interpolated from MAP.,NAD83,13.60,feet,.01,feet,Level or other surveyed method.,NGVD29,US,24,033,Northern Atlantic Coastal Plain aquifer system,,Aquia Formation,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383231076411301,PG Hf  26,Well,,02060006,,,,,38.54206609000000,-76.6866293000000,,1,seconds,Interpolated from MAP.,NAD83,14,feet,10,feet,Interpolated from topographic map.,NGVD29,US,24,033,Northern Atlantic Coastal Plain aquifer system,,Magothy Formation,Confined single aquifer,,638,ft,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383238076412501,PG Hf  27,Well,,02060006,,,,,38.54401047000000,-76.6899628000000,,1,seconds,Interpolated from MAP.,NAD83,16,feet,10,feet,Interpolated from topographic map.,NGVD29,US,24,033,Northern Atlantic Coastal Plain aquifer system,,Magothy Formation,Confined single aquifer,,650,ft,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383248076405302,PG Hf  36,Well,,02060006,,,,,38.54678819000000,-76.6810735000000,24000,1,seconds,Interpolated from MAP.,NAD83,11.69,feet,10,feet,Interpolated from topographic map.,NGVD29,US,24,033,Northern Atlantic Coastal Plain aquifer system,,Magothy Formation,Confined single aquifer,19731128,634,ft,634,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383248076405303,PG Hf  38,Well,,02060006,,,,,38.54566667000000,-76.6807777800000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,11.60,feet,10,feet,Interpolated from topographic map.,NGVD29,US,24,033,Northern Atlantic Coastal Plain aquifer system,,Upper Patapsco Aquifer In the Patapsco Formation,Confined single aquifer,19740313,1066,ft,1066,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383250076405301,PG Hf  31,Well,,02060006,,,,,38.54734370000000,-76.6810735000000,24000,1,seconds,Interpolated from MAP.,NAD83,10.02,feet,10,feet,Interpolated from topographic map.,NGVD29,US,24,033,Northern Atlantic Coastal Plain aquifer system,,Patapsco Formation,,19730707,1541,ft,2453,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383250076405302,PG Hf  33,Well,,02060006,,,,,38.54734370000000,-76.6810735000000,24000,1,seconds,Interpolated from MAP.,NAD83,10.36,feet,10,feet,Interpolated from topographic map.,NGVD29,US,24,033,Northern Atlantic Coastal Plain aquifer system,,Magothy Formation,Confined single aquifer,19730905,639,ft,639,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383250076405303,PG Hf  32,Well,,02060006,,,,,38.54953330000000,-76.6814056000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,9.58,feet,.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,24,033,Northern Atlantic Coastal Plain aquifer system,,Lower Patapsco Aquifer In the Patapsco Formation,Confined single aquifer,19730530,1545,ft,1546,ft,NWIS
